,id,title,is_visible,currency,brand_title,url,promoted,favourite_count,is_favourite,total_item_price,status
0,5283154950,Manette ps5,True,EUR,Play,https://www.vinted.es/items/5283154950-manette-ps5,False,0,False,31500.7,New without tags
13,4939889781,Giochi PS4/ps5,True,EUR,,https://www.vinted.es/items/4939889781-giochi-ps4ps5,False,3,False,10500.7,Very good
62,3846502736,Playstation Lot de 2 ps5 + 54 jeux ,True,EUR,Sony,https://www.vinted.es/items/3846502736-playstation-lot-de-2-ps5-54-jeux,False,8,False,3035.2,New without tags
91,3130737089,Esplosione Goal:Draghi Duellanti Ps4/Ps5 Prezzo:2000 Crediti,True,EUR,PlayStation 4,https://www.vinted.es/items/3130737089-esplosione-goaldraghi-duellanti-ps4ps5-prezzo2000-crediti,False,1,False,2100.7,Good
